Checking duplicate records in file ticdata2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3353,41,1,2,3,10,0,9,0,0,5,0,4,4,3,3,0,3,6,0,0,2,0,3,5,0,3,0,6,0,0,9,3,2,4,7,2,6,3,0,0,0,2,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41_1_2_3_10_0_9_0_0_5_0_4_4_3_3_0_3_6_0_0_2_0_3_5_0_3_0_6_0_0_9_3_2_4_7_2_6_3_0_0_0_2_4_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_41_1_2_3_10_0_9_0_0_5_0_4_4_3_3_0_3_6_0_0_2_0_3_5_0_3_0_6_0_0_9_3_2_4_7_2_6_3_0_0_0_2_4_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
4042,41,1,2,3,10,0,9,0,0,5,0,4,4,3,3,0,3,6,0,0,2,0,3,5,0,3,0,6,0,0,9,3,2,4,7,2,6,3,0,0,0,2,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41_1_2_3_10_0_9_0_0_5_0_4_4_3_3_0_3_6_0_0_2_0_3_5_0_3_0_6_0_0_9_3_2_4_7_2_6_3_0_0_0_2_4_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_41_1_2_3_10_0_9_0_0_5_0_4_4_3_3_0_3_6_0_0_2_0_3_5_0_3_0_6_0_0_9_3_2_4_7_2_6_3_0_0_0_2_4_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
3838,41,1,2,3,10,1,4,1,4,7,1,2,3,5,2,0,5,4,2,0,0,3,0,4,0,4,3,2,0,2,7,6,2,1,5,4,3,2,0,4,0,6,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41_1_2_3_10_1_4_1_4_7_1_2_3_5_2_0_5_4_2_0_0_3_0_4_0_4_3_2_0_2_7_6_2_1_5_4_3_2_0_4_0_6_4_0_0_0_5_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_41_1_2_3_10_1_4_1_4_7_1_2_3_5_2_0_5_4_2_0_0_3_0_4_0_4_3_2_0_2_7_6_2_1_5_4_3_2_0_4_0_6_4_0_0_0_5_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
5270,41,1,2,3,10,1,4,1,4,7,1,2,3,5,2,0,5,4,2,0,0,3,0,4,0,4,3,2,0,2,7,6,2,1,5,4,3,2,0,4,0,6,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41_1_2_3_10_1_4_1_4_7_1_2_3_5_2_0_5_4_2_0_0_3_0_4_0_4_3_2_0_2_7_6_2_1_5_4_3_2_0_4_0_6_4_0_0_0_5_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_41_1_2_3_10_1_4_1_4_7_1_2_3_5_2_0_5_4_2_0_0_3_0_4_0_4_3_2_0_2_7_6_2_1_5_4_3_2_0_4_0_6_4_0_0_0_5_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
3734,41,1,3,2,10,1,5,1,3,6,1,3,0,4,5,0,3,6,1,0,3,3,0,4,0,2,4,3,0,3,6,6,1,2,6,3,0,0,9,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41_1_3_2_10_1_5_1_3_6_1_3_0_4_5_0_3_6_1_0_3_3_0_4_0_2_4_3_0_3_6_6_1_2_6_3_0_0_9_0_0_5_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_41_1_3_2_10_1_5_1_3_6_1_3_0_4_5_0_3_6_1_0_3_3_0_4_0_2_4_3_0_3_6_6_1_2_6_3_0_0_9_0_0_5_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
332,41,1,3,2,10,1,5,1,3,6,1,3,0,4,5,0,3,6,1,0,3,3,0,4,0,2,4,3,0,3,6,6,1,2,6,3,0,0,9,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41_1_3_2_10_1_5_1_3_6_1_3_0_4_5_0_3_6_1_0_3_3_0_4_0_2_4_3_0_3_6_6_1_2_6_3_0_0_9_0_0_5_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_41_1_3_2_10_1_5_1_3_6_1_3_0_4_5_0_3_6_1_0_3_3_0_4_0_2_4_3_0_3_6_6_1_2_6_3_0_0_9_0_0_5_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
3648,41,1,3,3,10,0,3,0,6,7,0,2,1,3,6,2,5,2,2,0,1,3,4,0,2,2,1,5,0,1,8,6,3,0,5,4,3,1,6,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41_1_3_3_10_0_3_0_6_7_0_2_1_3_6_2_5_2_2_0_1_3_4_0_2_2_1_5_0_1_8_6_3_0_5_4_3_1_6_0_0_4_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_41_1_3_3_10_0_3_0_6_7_0_2_1_3_6_2_5_2_2_0_1_3_4_0_2_2_1_5_0_1_8_6_3_0_5_4_3_1_6_0_0_4_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
2331,41,1,3,3,10,0,3,0,6,7,0,2,1,3,6,2,5,2,2,0,1,3,4,0,2,2,1,5,0,1,8,6,3,0,5,4,3,1,6,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41_1_3_3_10_0_3_0_6_7_0_2_1_3_6_2_5_2_2_0_1_3_4_0_2_2_1_5_0_1_8_6_3_0_5_4_3_1_6_0_0_4_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_41_1_3_3_10_0_3_0_6_7_0_2_1_3_6_2_5_2_2_0_1_3_4_0_2_2_1_5_0_1_8_6_3_0_5_4_3_1_6_0_0_4_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
3686,41,1,3,3,10,0,4,0,5,6,2,2,2,4,4,0,4,5,0,0,4,2,3,1,1,1,4,3,1,0,9,6,2,1,4,5,3,2,5,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41_1_3_3_10_0_4_0_5_6_2_2_2_4_4_0_4_5_0_0_4_2_3_1_1_1_4_3_1_0_9_6_2_1_4_5_3_2_5_0_0_4_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_41_1_3_3_10_0_4_0_5_6_2_2_2_4_4_0_4_5_0_0_4_2_3_1_1_1_4_3_1_0_9_6_2_1_4_5_3_2_5_0_0_4_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
2198,41,1,3,3,10,0,4,0,5,6,2,2,2,4,4,0,4,5,0,0,4,2,3,1,1,1,4,3,1,0,9,6,2,1,4,5,3,2,5,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41_1_3_3_10_0_4_0_5_6_2_2_2_4_4_0_4_5_0_0_4_2_3_1_1_1_4_3_1_0_9_6_2_1_4_5_3_2_5_0_0_4_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_41_1_3_3_10_0_4_0_5_6_2_2_2_4_4_0_4_5_0_0_4_2_3_1_1_1_4_3_1_0_9_6_2_1_4_5_3_2_5_0_0_4_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
5204,41,1,3,3,10,0,4,1,4,7,0,2,2,3,5,0,2,7,0,0,3,0,3,3,2,0,2,3,4,3,6,5,2,3,7,2,5,4,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41_1_3_3_10_0_4_1_4_7_0_2_2_3_5_0_2_7_0_0_3_0_3_3_2_0_2_3_4_3_6_5_2_3_7_2_5_4_0_0_0_2_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_41_1_3_3_10_0_4_1_4_7_0_2_2_3_5_0_2_7_0_0_3_0_3_3_2_0_2_3_4_3_6_5_2_3_7_2_5_4_0_0_0_2_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
1338,41,1,3,3,10,0,4,1,4,7,0,2,2,3,5,0,2,7,0,0,3,0,3,3,2,0,2,3,4,3,6,5,2,3,7,2,5,4,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41_1_3_3_10_0_4_1_4_7_0_2_2_3_5_0_2_7_0_0_3_0_3_3_2_0_2_3_4_3_6_5_2_3_7_2_5_4_0_0_0_2_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_41_1_3_3_10_0_4_1_4_7_0_2_2_3_5_0_2_7_0_0_3_0_3_3_2_0_2_3_4_3_6_5_2_3_7_2_5_4_0_0_0_2_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
2909,41,1,3,3,10,0,5,0,4,7,2,0,0,3,6,0,4,5,2,0,2,0,4,3,2,0,2,5,0,4,5,7,2,0,5,4,2,2,3,3,0,5,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41_1_3_3_10_0_5_0_4_7_2_0_0_3_6_0_4_5_2_0_2_0_4_3_2_0_2_5_0_4_5_7_2_0_5_4_2_2_3_3_0_5_4_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_41_1_3_3_10_0_5_0_4_7_2_0_0_3_6_0_4_5_2_0_2_0_4_3_2_0_2_5_0_4_5_7_2_0_5_4_2_2_3_3_0_5_4_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0
1213,41,1,3,3,10,0,5,0,4,7,2,0,0,3,6,0,4,5,2,0,2,0,4,3,2,0,2,5,0,4,5,7,2,0,5,4,2,2,3,3,0,5,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41_1_3_3_10_0_5_0_4_7_2_0_0_3_6_0_4_5_2_0_2_0_4_3_2_0_2_5_0_4_5_7_2_0_5_4_2_2_3_3_0_5_4_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_41_1_3_3_10_0_5_0_4_7_2_0_0_3_6_0_4_5_2_0_2_0_4_3_2_0_2_5_0_4_5_7_2_0_5_4_2_2_3_3_0_5_4_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0
2545,41,1,3,3,10,0,7,0,2,6,0,3,3,1,6,0,6,3,3,0,4,2,0,1,3,2,5,1,0,0,9,3,3,3,2,7,1,5,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41_1_3_3_10_0_7_0_2_6_0_3_3_1_6_0_6_3_3_0_4_2_0_1_3_2_5_1_0_0_9_3_3_3_2_7_1_5_4_0_0_4_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_41_1_3_3_10_0_7_0_2_6_0_3_3_1_6_0_6_3_3_0_4_2_0_1_3_2_5_1_0_0_9_3_3_3_2_7_1_5_4_0_0_4_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
1829,41,1,3,3,10,0,7,0,2,6,0,3,3,1,6,0,6,3,3,0,4,2,0,1,3,2,5,1,0,0,9,3,3,3,2,7,1,5,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41_1_3_3_10_0_7_0_2_6_0_3_3_1_6_0_6_3_3_0_4_2_0_1_3_2_5_1_0_0_9_3_3_3_2_7_1_5_4_0_0_4_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_41_1_3_3_10_0_7_0_2_6_0_3_3_1_6_0_6_3_3_0_4_2_0_1_3_2_5_1_0_0_9_3_3_3_2_7_1_5_4_0_0_4_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
1621,41,1,3,3,10,1,7,1,2,8,1,1,1,3,6,1,4,5,2,1,2,2,3,1,2,1,3,4,0,1,8,5,4,1,5,4,2,3,4,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41_1_3_3_10_1_7_1_2_8_1_1_1_3_6_1_4_5_2_1_2_2_3_1_2_1_3_4_0_1_8_5_4_1_5_4_2_3_4_1_0_4_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_41_1_3_3_10_1_7_1_2_8_1_1_1_3_6_1_4_5_2_1_2_2_3_1_2_1_3_4_0_1_8_5_4_1_5_4_2_3_4_1_0_4_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
4392,41,1,3,3,10,1,7,1,2,8,1,1,1,3,6,1,4,5,2,1,2,2,3,1,2,1,3,4,0,1,8,5,4,1,5,4,2,3,4,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41_1_3_3_10_1_7_1_2_8_1_1_1_3_6_1_4_5_2_1_2_2_3_1_2_1_3_4_0_1_8_5_4_1_5_4_2_3_4_1_0_4_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_41_1_3_3_10_1_7_1_2_8_1_1_1_3_6_1_4_5_2_1_2_2_3_1_2_1_3_4_0_1_8_5_4_1_5_4_2_3_4_1_0_4_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
5117,41,1,4,2,10,1,5,1,3,6,1,3,0,3,6,0,2,7,4,0,2,2,0,3,0,2,6,2,0,2,7,6,1,2,6,3,0,0,9,0,0,5,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41_1_4_2_10_1_5_1_3_6_1_3_0_3_6_0_2_7_4_0_2_2_0_3_0_2_6_2_0_2_7_6_1_2_6_3_0_0_9_0_0_5_4_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_41_1_4_2_10_1_5_1_3_6_1_3_0_3_6_0_2_7_4_0_2_2_0_3_0_2_6_2_0_2_7_6_1_2_6_3_0_0_9_0_0_5_4_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
3527,41,1,4,2,10,1,5,1,3,6,1,3,0,3,6,0,2,7,4,0,2,2,0,3,0,2,6,2,0,2,7,6,1,2,6,3,0,0,9,0,0,5,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41_1_4_2_10_1_5_1_3_6_1_3_0_3_6_0_2_7_4_0_2_2_0_3_0_2_6_2_0_2_7_6_1_2_6_3_0_0_9_0_0_5_4_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_41_1_4_2_10_1_5_1_3_6_1_3_0_3_6_0_2_7_4_0_2_2_0_3_0_2_6_2_0_2_7_6_1_2_6_3_0_0_9_0_0_5_4_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
3007,41,1,4,2,10,1,5,1,3,6,1,3,0,3,6,0,2,7,4,0,2,2,0,3,0,2,6,2,0,2,7,6,1,2,6,3,0,0,9,0,0,5,4,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41_1_4_2_10_1_5_1_3_6_1_3_0_3_6_0_2_7_4_0_2_2_0_3_0_2_6_2_0_2_7_6_1_2_6_3_0_0_9_0_0_5_4_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_41_1_4_2_10_1_5_1_3_6_1_3_0_3_6_0_2_7_4_0_2_2_0_3_0_2_6_2_0_2_7_6_1_2_6_3_0_0_9_0_0_5_4_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
3182,41,1,4,2,10,1,5,1,3,6,1,3,0,3,6,0,2,7,4,0,2,2,0,3,0,2,6,2,0,2,7,6,1,2,6,3,0,0,9,0,0,5,4,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41_1_4_2_10_1_5_1_3_6_1_3_0_3_6_0_2_7_4_0_2_2_0_3_0_2_6_2_0_2_7_6_1_2_6_3_0_0_9_0_0_5_4_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_41_1_4_2_10_1_5_1_3_6_1_3_0_3_6_0_2_7_4_0_2_2_0_3_0_2_6_2_0_2_7_6_1_2_6_3_0_0_9_0_0_5_4_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
3799,41,1,4,3,10,0,5,1,3,8,1,1,1,2,7,0,2,7,1,0,4,1,1,5,1,2,3,4,1,1,8,7,1,1,8,1,2,3,2,4,0,5,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41_1_4_3_10_0_5_1_3_8_1_1_1_2_7_0_2_7_1_0_4_1_1_5_1_2_3_4_1_1_8_7_1_1_8_1_2_3_2_4_0_5_4_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_41_1_4_3_10_0_5_1_3_8_1_1_1_2_7_0_2_7_1_0_4_1_1_5_1_2_3_4_1_1_8_7_1_1_8_1_2_3_2_4_0_5_4_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0
2531,41,1,4,3,10,0,5,1,3,8,1,1,1,2,7,0,2,7,1,0,4,1,1,5,1,2,3,4,1,1,8,7,1,1,8,1,2,3,2,4,0,5,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41_1_4_3_10_0_5_1_3_8_1_1_1_2_7_0_2_7_1_0_4_1_1_5_1_2_3_4_1_1_8_7_1_1_8_1_2_3_2_4_0_5_4_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_41_1_4_3_10_0_5_1_3_8_1_1_1_2_7_0_2_7_1_0_4_1_1_5_1_2_3_4_1_1_8_7_1_1_8_1_2_3_2_4_0_5_4_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0
3501,41,1,4,3,10,0,5,1,3,8,1,1,1,2,7,0,2,7,1,0,4,1,1,5,1,2,3,4,1,1,8,7,1,1,8,1,2,3,2,4,0,5,4,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41_1_4_3_10_0_5_1_3_8_1_1_1_2_7_0_2_7_1_0_4_1_1_5_1_2_3_4_1_1_8_7_1_1_8_1_2_3_2_4_0_5_4_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_41_1_4_3_10_0_5_1_3_8_1_1_1_2_7_0_2_7_1_0_4_1_1_5_1_2_3_4_1_1_8_7_1_1_8_1_2_3_2_4_0_5_4_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
1308,41,1,4,3,10,0,5,1,3,8,1,1,1,2,7,0,2,7,1,0,4,1,1,5,1,2,3,4,1,1,8,7,1,1,8,1,2,3,2,4,0,5,4,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41_1_4_3_10_0_5_1_3_8_1_1_1_2_7_0_2_7_1_0_4_1_1_5_1_2_3_4_1_1_8_7_1_1_8_1_2_3_2_4_0_5_4_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_41_1_4_3_10_0_5_1_3_8_1_1_1_2_7_0_2_7_1_0_4_1_1_5_1_2_3_4_1_1_8_7_1_1_8_1_2_3_2_4_0_5_4_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
